submission_id,respondent-id,time,rating,free_text,do_better,pcn,surgery,campaing_id,logic,campaign_rating,campaign_freetext
8rylqk,4oveLA,2024-07-02 16:22:10,Good,Because Dr Shona Rebeston very good and helpful ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
1Rya9g,5GvWqE,2024-07-02 16:23:17,Very good,"Excellent doctors, nurses & reception staff.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zdoVMR,b8rBK0,2024-07-02 16:53:53,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
GbjKX2,k77e8Z,2024-07-02 18:34:57,Very good,Friendly and professional from the very start. The website is clear and informative and the reception staff are very helpful and nice. I'm a new patient and all of this makes a refreshing change from my former practice. ,n/a,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
JoZ2kz,PXX6AP,2024-07-02 19:50:10,Very good,Very fast and professional service.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
oz8lLe,EJB4MN,2024-07-04 10:08:53,Very good,Because I receive very good and kind care and attantion. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
GbOa12,5GE9MM,2024-07-04 12:21:17,Good,Because of Dr Kamvari,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZebXee,vOqDV4,2024-07-04 12:24:12,Very good,"We feel that the surgery does its outmost for their patients. 
All members of staff and the doctors put the patient first. ",Everything is perfect ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
BeJqeR,yEe4rd,2024-07-04 12:24:17,Good,"The atmosphere, the feeling that the team are ready to help and support ",Appointments maybe should be longer assigned for more than present,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
PrJyXx,vOq6WD,2024-07-04 19:48:26,Very good,"All very welcoming and polite, sometimes I feel rushed, but understand  every is busy",No. All was perfect,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
7EAzq0,p7JdEb,2024-07-05 15:01:20,Very good,"Rapid response times, amazing care and on point resolution. Whilst one is never keen to go to the doctor’s, it’s always a pleasure to visit Ken park medical centre - from receptionist to doctors, the care is great.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
JoPNQ4,6OWxKY,2024-07-05 17:27:35,Very good,They always respond to your enquiry innprofessional urgent matter ,All great,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
XQjojz,9EoX74,2024-07-06 07:43:01,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
pZxVab,dDRpzK,2024-07-08 16:28:59,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Lo1YEl,rdqW2p,2024-07-08 16:42:37,Very good,Is the best ,No everything is perfect ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
KRQvKM,GJ7aAz,2024-07-08 17:32:20,Very good,Excellent staff and efficient service ,No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
WZ9Koa,o7xZDP,2024-07-08 17:36:29,Very good,no problem getting an appointment.no waiting and my problem solved.,wish it is always easy to get an abutment when needed.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
y7Z1BW,AqQMaW,2024-07-08 18:00:57,Very good,Always love the service ,Maybe been seen quicker,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
x6jLgG,o7Qoqx,2024-07-09 18:41:50,Very good,Always get the best professional service,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Rrdygd,4od1jX,2024-07-09 19:37:50,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
RrdpDd,KJyWvz,2024-07-09 20:25:21,Very good,Good service and clean ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
B9pXVN,BQlZq5,2024-07-10 09:44:49,Very good,Dr is very helpfull and gives time to listen,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
vWDJM8,ZzK1Qy,2024-07-10 11:44:53,Good,Good and professional service ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
qNGJA5,2JylyA,2024-07-10 11:46:13,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
pZo65b,NJQgvl,2024-07-10 13:16:03,Very good,Dr Kamvari is a wonderful Doctor who really understands how the patient is feeling. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
7P26AL,GJ7aAz,2024-07-11 16:04:49,Very good,Efficient service and experienced doctors ,Bo,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OVz9V8,8PYk2l,2024-07-11 21:37:05,Very good,"My doctor is wonderful,  caring and supportive. The receptionist is very nice and polite and the clinic is clean.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
pZLZGq,1JYjeb,2024-07-12 07:01:19,Very good,The Reception Team at KPMC is always courteous and very busy. Dr Kamvari is excellent.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
RrzgPp,VMa2Py,2024-07-12 07:23:12,Very good,Every time I call to make an appointment All the receptionist and GP are so caring and helpful. I’m always able to get an appointment the same day and never have i experienced any issues related to the surgery. ,N/A,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
WZAbNN,QJ9Krg,2024-07-12 08:33:06,Very good,"Nice Doctor, nice receptionist and generaly many thanks",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
QErDZ8,j749L9,2024-07-12 11:15:44,Very poor,I will not be taking any appointments with Dr M Rehman whom I believe does not represent my previous experience with the clinic,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AQJkkk,2Jdp1M,2024-07-12 15:12:58,Very good,"I love the Gp surgery at Kensington medical centre,no waiting for to long to be called by the doctor ",Everything was fantastic..the doctor was very friendly ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AQ8r50,e7O12q,2024-07-12 16:11:50,Very good,"1. Got the appointment I needed
2. GP was friendly and supportive 
3. Sample was sent off same day
4. Medication sent to pharmacy early afternoon ",Nothing I can think of today,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
MG58Np,EJoP1o,2024-07-12 19:01:31,Good,"Great doctor, listened well, took the time, advised and diagnosed, kind and gentle.",Thank you,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
B9B8eR,GJOr7L,2024-07-12 19:06:42,Good,"Great doctor, listened well, took the time and advised, my son is satisfied with his asthma reviews.",Thank you,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zbd4RR,NBr14b,2024-07-15 14:47:22,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
RrrPOp,BbK2A5,2024-07-15 17:30:22,Very good,"It’s a brilliant practice 
Managed well and staff very helpful",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vxx0qE,rrBY75,2024-07-15 17:45:36,Very good,Hi guys.  I'm  very happy about your costumer service and  doctors also deal are very positive and very friendly I just want to say big tanks for all your friendly times wish you best and long god life 🙏🙏🙏🙏🙏🙏👍,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
x6o8Jd,8pZEAl,2024-07-16 12:43:11,Very good,Doctors and nurses are very good ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Loyzz1,LMPLE1,2024-07-16 14:35:32,Very good,"Very nice doctor, good listener. It was the first meeting and it will not be the last. Wonderful.",.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
2RgM0b,arYVGZ,2024-07-17 10:55:17,Very good,I've been in KMC for long time and my experience grew more of their good service.,Can't ask for more.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
rqR8jM,Mdb648,2024-07-17 15:49:29,Good,The doctor explained very good. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AQNoGk,b47GR1,2024-07-17 17:00:42,Very good,"Everyone is so helpful, knowledgeable and professional. 
The reception staff and administration. Are extremely professional helpful, polite and kind.
The Doctors are excellent with their support and the medical knowledge. I have 100% confident in them.
Thank you. ",They are very quick in taking action when something needs that urgent attention. ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4GYYqO,rrlo4L,2024-07-17 22:18:46,Very good,Dr. Kamvari is a very pleasant and helpful doctor and very professional.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vx77J6,j9BRDJ,2024-07-18 07:12:03,Poor,Really difficult to get appointments and the telephone system does not work,Yes! A doctor to follow up rather than me going around trying to get an appointment,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
G7AKOQ,YzOBpB,2024-07-18 16:24:22,Very good,Warm treatment ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZQr6xA,5qkAQv,2024-07-18 17:07:04,Very good,The Doctors are so caring and fast to respond ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
bAQ742,d2AyOo,2024-07-18 17:10:46,Very good,"Efficient, professional services ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
7PrW7P,MdO4Xg,2024-07-18 17:13:51,Very good,I got great service and very fast,I'm happy with that,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZQr01a,12E7Ll,2024-07-18 21:47:11,Very good,I just want to say thank you Dr Azimi. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OVNDpR,XBqGp4,2024-07-18 22:48:01,Very good,"Very pleasant, and professional doctor. Great location and nice enough facilities",Less wait time,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
JB4Nbr,rrEMx2,2024-07-19 07:55:04,Very good,We get the answer and help really quickly!,Satisfied ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DW8AlN,KBLx6V,2024-07-19 11:55:14,Very good,The staff were very nice and helpful and the follow up was prompt ,"No, I was happy with everything ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
pZgQAb,GBDyqQ,2024-07-20 11:26:52,Good,The GP I saw was not friendly and unlike the other doctors at KPMC ,If she had been more friendly p,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
alVXxE,BbQ7Q4,2024-07-20 18:22:27,Good,The people at reception are very helpful and welcoming. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zgxJK8,2xOkYM,2024-07-22 17:22:46,Very good,Friendly and efficient service! Really happy with The place,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DbBWVN,2JLjZp,2024-07-23 11:47:11,Very good,Everyone all staff Doctors and nurses are very helpful and friendly kind ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
NED8bB,qEJPV2,2024-07-23 17:21:21,Very good,Always get prompt attention. Polite and kind staff at front desk,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ygNe8d,rrJE0X,2024-07-23 17:23:33,Very good,Because the doctor does her best to understand my issues and recommends the most helpful ways of treatments.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Db7BkE,kRkDv1,2024-07-24 15:44:10,Very good,All the Staff from front desk to Clinician's are professional polite and caring ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
R2DMZQ,Wp1O9e,2024-07-24 16:05:25,Very good,On time. Thorough and clear explanation of my results and how they relate to my present condition.,No.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Db7zZq,GB56vo,2024-07-24 16:33:05,Very good,"As always, efficient and helpful attention.",No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Qj7DKX,79Mq8R,2024-07-24 16:46:44,Very good,"Because all the staff ,they are very kind and make you feel comfortable when you there. And doctors are very competent and care a lot for the patients ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vqzvry,j9vyjx,2024-07-24 18:37:14,Very good,Thorough detailed and efficient ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
gg9p0l,MdMLkY,2024-07-24 19:47:42,Good,You are good and helpful ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VqZAel,arl809,2024-07-26 11:26:18,Very good,All stuff being amazing ,For now no,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xgdLj5,V1xkb6,2024-07-26 11:29:35,Very good,On time very polite always I love my Gp,No because every thing’s perfect also Dr Oyefeso brilliant ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
rglbkX,oVx48e,2024-07-26 11:34:10,Very good,"As always, efficient and on time.  Excellent GP practice.",No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AaJdol,d2glBD,2024-07-26 15:53:48,Very good,All queries answered. Thank you ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
bgkllo,JkGDlR,2024-07-26 15:56:53,Very poor,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ogBdGe,4NENb5,2024-07-26 16:40:18,Very good,Professional Dr,The Dr listened to me about my problem very carfully and advised after. ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
LVGJrv,12ObZb,2024-07-26 16:58:23,Poor,"Appointment was being late than the booked time;
The GP’s attitude was wired and not friendly;
GP was not patient to listen ",GP to have the right attitude ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Gk1kJe,oVgxKe,2024-07-26 19:11:45,Very good,Staff have been friendly and helpful. Am very pleased and confident because I am registered with this GP practice. Thank you. Anne,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
GkYKPk,xNEaAv,2024-07-29 15:46:07,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4EPgkA,rrR4AN,2024-07-29 22:39:27,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EAZPdB,5qYgGP,2024-07-30 11:18:49,Very good,Dr was very helpful and understanding and I was happy that I attended.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
akAvWE,PBNo11,2024-07-30 13:24:26,Very good,I got an appointment really quickly because I wasn’t feeling well at and I was seen in two hours,The on-call doctor very kind and I was able to discuss my problem and get advice,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vq4GyJ,790dRa,2024-07-30 17:00:07,Very good,Quick and had a consultation over the phone ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ggkgWN,MdZg7l,2024-07-30 22:02:43,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DbMrz5,b416vE,2024-07-31 12:17:28,Very good,Помощь оказана быстро и грамотно! Спасибо,Нет,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VqNjVv,MdjP18,2024-07-31 13:13:21,Very good,Lovely GP,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
LVOdd2,0jqg9N,2024-07-31 14:24:30,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OrEgKp,NB2eAQ,2024-07-31 17:10:33,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VqxpMv,9Jj1QX,2024-07-31 20:17:43,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OrVl6M,vOq6WD,2024-07-31 20:52:24,Very good,"The Doctor I saw was very polite, understanding and helpful.
She took time to explain my problem to me.
",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Gk79do,OBMLaR,2024-07-31 20:57:30,Very good,Friendly and professional ,None ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
kgpD9o,j9R0p4,2024-08-01 17:44:55,Very good,On my own experience ,I don’t think off anything ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZWg4Y0,ZR7Gry,2024-08-01 17:48:09,Very good,Dr Azimi was very nice and calming to me,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
KOyYO7,b4pKYo,2024-08-01 18:16:10,Very good,"The receptionist was very helpful and found me a same day appt.. The doctor I saw was very helpful and thorough...I could not ask for more.
Thank you as always
Catherine
","No
The receptionist even helped me download the photos from my phone to the app.


",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
B65r74,arR92v,2024-08-01 23:27:35,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
P4W62x,oVx48e,2024-08-02 11:20:17,Very good,A very helpful and common sense discussion with a doctor this morning.,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
R26LAQ,rdqW2p,2024-08-02 11:57:36,Very good,I always have excellent service and I think is one of best in london ,Friendly staff and i have been seen on time ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
82VPJk,XBj7Rg,2024-08-02 18:46:54,Very poor,"A lot!! And the latest one was the nail In the coffin. Never know that I have time constraint for the service that I contribute for every month, actually only happened in your practice with your GPs. Twice, both doctors/professional medical people were VERY BAD that I LITERALLY MOVED TO ANOTHER GP THE SAME DAY! I was asked to book again for another appointment for the other issue that I have because there's no more time left, so bizarre!! And with back-to-back less than impressed experience, no way I am going back AGAIN!!! ","Train your GP! No wonder THERE WAS ALWAYS NO ONE in that practice, and yet your GP always give me the same reasons.. I have next patient to attend to, and yet that place is more like a funeral home than a GP. Perhaps the GP is giving advice to ""them"".... ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
9xkgRQ,Oj1XDY,2024-08-05 12:00:14,Very good,"So helpful , efficient, and friendly.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ogPa1X,V9EPPg,2024-08-05 12:02:06,Very good,I was given an appointment almost immediately when I raised a serious question on the phone ,It was perfect.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zg9Rkg,YoDGOd,2024-08-05 12:03:59,Very good,The staff on reception have been very helpful following up on my medical checks. The Doctor was very professional and empathetic. Would recommend.,Some shortening of the telephone messages while on hold. ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
P4xLL5,8JoLBx,2024-08-05 12:11:42,Very good,Because they are best 👌 ,. ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
QjZlx1,7Jl2pR,2024-08-05 12:45:42,Very good,We recieved an appointment for my 9 year old son very quickly and Dr Robertson was excellent.,None,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
dgO29o,ajNlpW,2024-08-05 16:23:51,Very good,Excellent treatment ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
2VpV0L,b2VMV0,2024-08-05 17:47:04,Very good,I was seen in time. Nurse was very nice and efficient. ,Can’t think of anything ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
rg7yZl,EBkg9l,2024-08-06 06:41:31,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AaZ8Gy,QxKQDA,2024-08-06 08:58:40,Poor,Or reception no good,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
lgQ5AX,P2Rdk1,2024-08-06 11:17:43,Very good,"We ( my wife and I) love our GP Dr Kamvari.
All the staff is very friendly and polite 
The facility is clean and bright 
Highly recommend. Best practice ever ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
dgB8Gy,r0DW9X,2024-08-06 15:04:11,Good,"Dr Kamvari decided to leave the medication as it is right now, and I agree with that.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
LVReRJ,p0e8V1,2024-08-06 16:10:37,Very good,The administrative and medical staff were always friendly and took my requests seriously.,"Booking urgent appointments should be more straight forward. I had chest pain akin to a heart attack and was asked to call back teice in the same day for an appointment, to be told a gp will contact me via phone and they never called. ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ggRAxD,x0rped,2024-08-06 17:21:30,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
820PPY,RZxL94,2024-08-06 17:36:10,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VqkNPg,l0BKDo,2024-08-06 18:03:26,Very good,"Great compassion,  knowledge and manor",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
dg5yjN,x0r1Ev,2024-08-06 18:42:59,Very good,"We been treated well, together with my wife.",It's fine for us.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
0lQZQB,Go94Xo,2024-08-07 06:24:13,Very good,Because every body they are very good and friendly ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OgDqVR,8JoLBx,2024-08-07 08:37:18,Very good,"They are  the best. 
Thank you so much for everything. ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Egk27N,j061Ma,2024-08-07 09:25:55,Good,Most of the GP’s are responsive ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VdpD46,1b4G7b,2024-08-07 11:54:47,Very good,Easy to make an appointment and very helpful staff.,Nothing - perfect,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
opEWrx,oVx48e,2024-08-07 15:06:42,Very good,Prompt attention.,No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
jpZOWR,v0PKAQ,2024-08-07 15:10:39,Very good,Always see a friendly and knowledgeable doctor. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
1xk2Dl,r0o4rl,2024-08-07 16:06:54,Very good,Dr. Kamwari is great.,More time slots for Dr. Kamwari.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
JgdPOz,7JxN09,2024-08-07 17:12:17,Good,The front desk is always helpful & give me & my husband slot when necessary. ,Good service overall,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
jpb1VJ,l0rN6p,2024-08-07 17:34:22,Very good,"seen on time, & covered all to discuss with tgg he e GP. ","Without having to make a double appointment. The 10 minute rule, is nowhere near long enough to cover everything satisfactory. ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
kpeN11,5lxq6P,2024-08-07 18:56:57,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
jplDrJ,Oj5rba,2024-08-08 11:08:39,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
pMDyWB,V9EPPg,2024-08-08 11:56:33,Very good," I was able to make an appointment at very short notice, and received excellent help and advice ",No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
69Zvvo,2bN6xV,2024-08-08 13:30:27,Very good,"The consultation I had today with Dr. Azimi, my GP, was fantastic. The staff who scheduled my appointment were efficient, and I didn't have to wait long for a response to my call. The friendliness and support I received was great. Dr. Azimi was extremely professional and helpful during the consultation.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EgxJo4,y09QxX,2024-08-08 13:42:58,Very good,Best doctors. Helpful and polite receptionist. Appointment on time. ,No. Everything is to my satisfaction ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
vpy1V4,k0Y58R,2024-08-09 11:18:33,Very good,The receptionist kindly booked me an emergency appointment for the same morning. I am very grateful to Doctor Pumphrey who encouraged me to go to  A&E urgently and to find out what exactly was wrong with me. Many thanks 😊 ,N/A,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Wg5X4L,ajBD0Z,2024-08-09 11:44:11,Very good,It good service,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ayYJDv,ajNlpW,2024-08-09 12:00:50,Very good,Excellent treatment ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vd56LM,l0NVaV,2024-08-09 12:28:57,Very good,"I followed all the instruction and every thing went accoutring to instruction  , thus all went fine with out any deficulty
","All went in perfect order and all aspects went according to instruction , 
Most appreciated  ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vd0EGg,eNBzBx,2024-08-09 13:40:54,Very good,Based on my own experiences ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
opyOPV,oVx48e,2024-08-09 15:32:29,Very good,Impartial advice given.,No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Rg4YB4,x0ZVlG,2024-08-10 11:07:43,Very good,Good competence.,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xoQkZ5,Go0QpL,2024-08-10 16:09:37,Very good,"Have now been using the service for 3 yrs plus
Excellent
",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
yGxrX4,r0VbBM,2024-08-11 13:43:07,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DYvNl5,eN77aQ,2024-08-12 14:36:10,Very good,"Doctors are very good and friendly
Receptionists are fantastic",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
LgMdaj,P2XXGQ,2024-08-12 14:40:24,Very good,"I was seen on time and had my treatment with my excellent doctor.
Everything is punctual and efficient and I am grateful.",All is well. I would like more interaction with the reception desk.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xoNQ8J,DXJv5l,2024-08-12 14:50:32,Very good,Because Dr Shona Rebeston  very helpful and very polite ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
rprkJL,k0Y58R,2024-08-12 16:10:52,Very good,Dr Robertson was excellent and the receptionist was very kind and helpful. Many thanks 😊 ,N/A,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
l5lzpo,41oGBB,2024-08-12 16:31:26,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ayrgev,V9Mdev,2024-08-12 17:10:16,Very good,Dr Robertson was extremely nice and reassuring. She prescribed new medication to deal with my itchy skin. My previous medication for eczema has been discontinued.,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
epxjPl,N4JyzB,2024-08-12 17:25:34,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zOQp9a,N4JyzB,2024-08-12 19:40:25,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
op0EEb,2bJ2Qg,2024-08-12 20:16:45,Very good,God is god ,All personnel is very kind ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
