free_text,sentiment_free_text,sentiment_score_free_text,free_text_len,rating_score,feedback_labels,emotion_free_text,label,abs_sentiment
The telephone appointments should be easier available and the emergency appts for which you need to apply at 8am in the morning should refer ONLY to in person ones Phonr emergency appts should be easy to get for the same day,neutral,0.6539369822,40.0,4.0,Appointment Availability,neutral,0,0.6539369822
I think the surgery can do better with providing more appointments,neutral,0.5491364002,11.0,4.0,Appointment Availability,optimism,0,0.5491364002
The staff s professionalism and warmth make a world of difference in patient experiences Appointments are timely and the environment is clean and welcoming The GPs exhibit remarkable dedication taking time to listen and explain ensuring patients feel heard and understood Their adept use of technology for appointments and records adds convenience without losing the personal touch,positive,0.9521923661,56.0,5.0,Staff Professionalism,admiration,0,0.9521923661
Lovely Surgery with helpful staff GPs and nurse,positive,0.9780712724,8.0,5.0,Staff Professionalism,love,0,0.9780712724
Dr PERSON is extremely professional and pleasant,positive,0.9557291865,7.0,5.0,Patient Respect,admiration,0,0.9557291865
Ability to book an appointment with a GP,neutral,0.8719469309,8.0,4.0,Appointment Availability,neutral,0,0.8719469309
It was great at my appointment the doctor that saw me recommended me to see a skin specialist for some marks on my face and it would be great if I knew the steps on how to do that through the NHS or if a referral was done for me otherwise Iâ€™m waiting for the next meeting and asking again,positive,0.8934633136,60.0,5.0,Follow-up and Continuity of Care,admiration,0,0.8934633136
Correct prescription Only got prescription for 10 tablets instead of stayed 14 so had to pay for extra prescription after further phone call,neutral,0.7572504282,23.0,2.0,Prescriptions and Medication Management,neutral,0,0.7572504282
The all team is friendly and very professional BIG RESPECT TO ALL OF THEM,positive,0.97605896,15.0,5.0,Staff Professionalism,admiration,0,0.97605896
The all team is very friendly and professional BIG RESPECT FOR ALL OF THEM,positive,0.9771600366,15.0,5.0,Staff Professionalism,admiration,0,0.9771600366
Be at the right time the phone call was two hours later than the appointment time,neutral,0.654776454,16.0,5.0,Appointment Availability,neutral,0,0.654776454
I expect that I have been given some prescripts medicines for cough and flu ðŸ˜ rather than advice by doctor to take a rest for self recovery I have suffered the coughs with sleepless nights and the virus spread to other family members which I think the dr visits is not useful to me NHS needs to look into this for more efficient practice,negative,0.8155524135,66.0,3.0,Prescriptions and Medication Management,neutral,0,-0.8155524135
Waiting time to book an appointment But understand how busy you are therefore itâ€™s not a claim You are always try to do your best to help Thank you very much for that,positive,0.7887608409,34.0,5.0,Waiting Time,gratitude,0,0.7887608409
They are Very good everytime i need something doctors are very quick to deliver the service very happy,positive,0.9060593247,18.0,5.0,Patient Respect,joy,0,0.9060593247
Ms PERSON otte Calendar did a Very good job Thanks a lot,positive,0.958642602,11.0,5.0,Patient Respect,gratitude,0,0.958642602
Get on really well with my GP and the rest of the practice staff I don t have any complaints,positive,0.9319295287,19.0,5.0,Patient Respect,approval,0,0.9319295287
Better turnaround times for an appointment,positive,0.5767346025,6.0,2.0,Appointment Availability,neutral,0,0.5767346025
I appreciate that it must be a stressful job day but people in general should smile more It puts everyone in a better mood,positive,0.7411055565,23.0,4.0,Staff Empathy and Compassion,admiration,0,0.7411055565
Last time my appointment went on time Very happy,positive,0.9817014933,9.0,4.0,Appointment Availability,joy,0,0.9817014933
Everything is just Very good service Quick and easy Everyone is so friendly Awesome staff Keep it up ðŸ ,positive,0.9830717444,21.0,5.0,Accessibility and Convenience,admiration,0,0.9830717444
Everything was absolutely fine Thanks ðŸ ,positive,0.9224636555,6.0,5.0,Patient Respect,gratitude,0,0.9224636555
I was not able to get through to the surgery since last week I tried several times but just couldnâ€™t connect Finally I had to go to A E and the nurse there was able to get through itâ€™s appalling that the receptionists donâ€™t answer Communication is key for a Good service very disappointing,negative,0.9090163112,53.0,2.0,Reception Staff Interaction,disappointment,0,-0.9090163112
Really nothing It was all Good,neutral,0.5219522119,6.0,5.0,Patient Respect,neutral,0,0.5219522119
If other patients in the waiting area had worn masks,neutral,0.8060800433,10.0,5.0,Waiting Time,neutral,0,0.8060800433
Ability to call to book an appointment during the day and not at 8am,neutral,0.8596640825,14.0,5.0,Accessibility and Convenience,neutral,0,0.8596640825
Nothing â€ nurse practitioner was mega helpful,negative,0.7676997185,7.0,5.0,Reception Staff Interaction,neutral,0,-0.7676997185
Nothing It was all Very good Thank you,positive,0.7730147839,8.0,5.0,Patient Respect,gratitude,0,0.7730147839
Dr PERSON gave me all the information I needed,positive,0.7360871434,9.0,5.0,Patient Respect,neutral,0,0.7360871434
More time to explain the worries of ur health,neutral,0.7259883881,9.0,4.0,Patient Education and Information,neutral,0,0.7259883881
I was seen on time and the nurse explained everything very clearly and why I needed to make a further appointment Very good care,positive,0.541362226,24.0,5.0,Patient Education and Information,caring,0,0.541362226
Nothing Lovely nurse and great care,positive,0.9363797903,6.0,5.0,Patient Respect,admiration,0,0.9363797903
The consultation started 15 minutes late,negative,0.7304755449,6.0,5.0,Appointment Availability,neutral,0,-0.7304755449
The service was brilliant I have no complaints,positive,0.9719055295,8.0,5.0,Treatment Quality,admiration,0,0.9719055295
First of all I can t or I don t like to have a telephone appointment,negative,0.7229462862,14.0,4.0,Appointment Availability,disapproval,0,-0.7229462862
None Appointment booked via NHS app,neutral,0.8930888176,6.0,5.0,Appointment Availability,neutral,0,0.8930888176
Please do not send earth time I come to SMC Once is enough,negative,0.5079093575,13.0,5.0,Patient Respect,neutral,0,-0.5079093575
Had my first face to face appt with my GP for a long while and very happy to see her,positive,0.9777437449,20.0,5.0,Appointment Availability,joy,0,0.9777437449
Helpful staff and professional helpful GBs,positive,0.9335095286,7.0,5.0,Staff Professionalism,neutral,0,0.9335095286
The nurse and Receptions are extraordinarily empathetic humane and totally compassionate beyond the call of duty,positive,0.9034631848,16.0,5.0,Staff Empathy and Compassion,admiration,0,0.9034631848
PERSON is the most kind efficient and understanding,positive,0.9517374039,8.0,4.0,Patient Respect,admiration,0,0.9517374039
Earlier appointment only an appointment on Friday was available and I booked at the beginning of the week when I felt bad and I had to get self medication antibiotics to recover the crisis was over by the time I got to see the doctor,neutral,0.5260282159,46.0,4.0,Appointment Availability,sadness,0,0.5260282159
I love all the staff and Dott Emiliani,positive,0.9762758017,8.0,5.0,Patient Respect,love,0,0.9762758017
This surgery is always helpful efficient and understanding,positive,0.9671302438,8.0,5.0,Accessibility and Convenience,admiration,0,0.9671302438
I find our Surgery welcoming and friendly,positive,0.9602033496,7.0,5.0,Patient Respect,admiration,0,0.9602033496
Dr PERSON has such a calming demeanour so I always feel safe and in good hands with her,positive,0.9411571622,18.0,5.0,Patient Respect,caring,0,0.9411571622
Very good doctor and helpful surgery,positive,0.9157395959,6.0,5.0,Treatment Quality,admiration,0,0.9157395959
Was able to get an appointment very quickly and got in to see the doctor who could see the problem and gave me the right prescription which cleared the sinus infection very quickly,positive,0.80183053,33.0,5.0,Appointment Availability,neutral,0,0.80183053
The nurse is very kind and competent,positive,0.9488071203,7.0,5.0,Staff Professionalism,admiration,0,0.9488071203
Happy with the surgery and the staff and my GP,positive,0.9731388688,10.0,5.0,Treatment Quality,joy,0,0.9731388688
I would have liked my appointment with nhs owned provider than a private one,neutral,0.7073481679,14.0,4.0,Appointment Availability,neutral,0,0.7073481679
The staff are courteous and helpful,positive,0.948636532,6.0,5.0,Staff Professionalism,admiration,0,0.948636532
From the wonderful reception to the treatment which I have received from Dr PERSON this surgery is excellent I would really recommend them,positive,0.9831880927,23.0,5.0,Treatment Quality,admiration,0,0.9831880927
At least one in person appointment with my GP,neutral,0.8048363328,8.0,5.0,Appointment Availability,neutral,0,0.8048363328
Nothing It was just a blood test which took 2 mins,neutral,0.6394540071,11.0,5.0,Test Results,neutral,0,0.6394540071
The receptionists are very helpful the same for the doctor and nursey,positive,0.951364696,12.0,5.0,Reception Staff Interaction,approval,0,0.951364696
Face to face appointment with our JP and not changing medical people all the time,neutral,0.8497424126,15.0,4.0,Follow-up and Continuity of Care,neutral,0,0.8497424126
Iâ€™m patient in that GP from 2003 l mean 21 years but the system of that GP itâ€™s bad starting ignoring and today l was having an appointment at 10H40 and l was in the GP at 10H30 but l was waiting over 1 hour without seeing the doctor l was getting stressed and frustrated and then left the GP itâ€™s shameful and I canâ€™t support NHS or l give them Good feedback and l donâ€™t care about my GP when Iâ€™m getting sick l go to emergency hospital waiting 1hour with out appointment itâ€™s okay Thatâ€™s why Iâ€™m getting sick more about this mentality of NHS staff but never mind my English is not Good enough but Iâ€™m gonna go to citizens advice and making complaints and put the website feedback,negative,0.908667624,132.0,2.0,Waiting Time,annoyance,0,-0.908667624
Iâ€™m patient in that GP from 2003 l mean 21 years but the system of that GP itâ€™s bad starting ignoring and today l was having an appointment at 10H40 and l was in the GP at 10H30 but l was waiting over 1 hour without seeing the doctor l was getting stressed and frustrated and then left the GP itâ€™s shameful and I canâ€™t support NHS or l give them Good feedback and l donâ€™t care about my GP when Iâ€™m getting sick l go to emergency hospital waiting 1hour with out appointment itâ€™s okay Thatâ€™s why Iâ€™m getting sick more about this mentality of NHS staff but never mind my English is not Good enough but Iâ€™m gonna go to citizens advice and making complaints and put the website feedback,negative,0.908667624,132.0,2.0,Waiting Time,annoyance,0,-0.908667624
Iâ€™m patient in that GP from 2003 l mean 21 years but the system of that GP itâ€™s bad starting ignoring and today l was having an appointment at 10H40 and l was in the GP at 10H30 but l was waiting over 1 hour without seeing the doctor l was getting stressed and frustrated and then left the GP itâ€™s shameful and I canâ€™t support NHS or l give them Good feedback and l donâ€™t care about my GP when Iâ€™m getting sick l go to emergency hospital waiting 1hour with out appointment itâ€™s okay Thatâ€™s why Iâ€™m getting sick more about this mentality of NHS staff but never mind my English is not Good enough but Iâ€™m gonna go to citizens advice and making complaints and put the website feedback,negative,0.908667624,132.0,2.0,Waiting Time,annoyance,0,-0.908667624
I was waiting a few mins but not a problem,neutral,0.6838033199,10.0,5.0,Waiting Time,neutral,0,0.6838033199
I am happy with my appointment,positive,0.9711325765,6.0,4.0,Appointment Availability,joy,0,0.9711325765
Friendly surgery and welcoming staff I have no complaints,positive,0.9471665621,9.0,5.0,Treatment Quality,neutral,0,0.9471665621
Probably the only way it could be better is not having to go at all Other than that no complaints,neutral,0.4233551621,21.0,5.0,Feedback and Complaints Handling,neutral,0,0.4233551621
Nothing really Covered most of my concerns,negative,0.7030972838,9.0,4.0,Waiting Time,neutral,0,-0.7030972838
Quality of service and stuff working on the reception,positive,0.6086196303,9.0,2.0,Reception Staff Interaction,neutral,0,0.6086196303
The Dr Was very thorough but felt very rushed But saying that he was very professional kind had empathy and very professional,positive,0.6292030215,22.0,5.0,Staff Empathy and Compassion,admiration,0,0.6292030215
Fix the TV that was used to direct the client patient to the consultation room This was a very important help for everyone,positive,0.7090765834,22.0,5.0,Facility Cleanliness,approval,0,0.7090765834
It was all well done PERSON knew what she was doing Thank you very much PERSON Thanks too to PERSON who did a lot to sort out the confusion PERSON s blessings on you all,positive,0.9622601867,34.0,5.0,Patient Respect,gratitude,0,0.9622601867
Being No 1 in the Q when the surgery is not open and thinking you will be speaking to somebody I know itâ€™s nothing to do with the staff there however the internal system with the telephone can be highly confusing I believe Iâ€™m very lucky to have Scarsdale medical Centre as my surgery over the last 23 years Iâ€™ve never been severely llet down by any of your staff and if there has been a problem with staff itâ€™s been noted recognised and they are replaced Often I hear from friends and family they tell me what They have to go through With GPâ€™s I realise how lucky I am With Thanks Leo Scott Francis,neutral,0.5094373822,116.0,5.0,Patient Respect,realization,0,0.5094373822
No improvement is necessary I was seen on time and the nurse explained everything clearly Everything was Very good,neutral,0.5215239525,19.0,5.0,Appointment Availability,neutral,0,0.5215239525
Nothing really It was very efficient,positive,0.7161070108,6.0,5.0,Staff Professionalism,neutral,0,0.7161070108
I have been very satisfied and comfortable with all my recent contact with the clinic,positive,0.9775895476,15.0,5.0,Patient Respect,approval,0,0.9775895476
Nothing all Good thanks doctor was amazing,positive,0.8995198011,7.0,5.0,Patient Respect,gratitude,0,0.8995198011
The toilet wasnâ€™t working and didnâ€™t have any sign to use a different one,negative,0.833347559,14.0,5.0,Accessibility and Convenience,neutral,0,-0.833347559
A friendlier atmosphere for babies A cleaner toilet,positive,0.6548942924,8.0,4.0,Facility Cleanliness,neutral,0,0.6548942924
There should be greater availability of appointments after school or working hours as not always it s possible to take time off at either,neutral,0.7986747026,23.0,4.0,Appointment Availability,neutral,0,0.7986747026
The doctors are friendly only takes a few days to get an appointment The reception nursing staff are friendly efficient too whixh makes a relaxing visit,positive,0.9278926849,29.0,4.0,Reception Staff Interaction,joy,0,0.9278926849
A bit more energy and enthusiasm would be Good,positive,0.7620270848,9.0,3.0,Environment and Ambiance,optimism,0,0.7620270848
Everything seemed decent and well organized,positive,0.8035317659,6.0,4.0,Facility Cleanliness,admiration,0,0.8035317659
Very attentive doctor Explained everything very well Thanks,positive,0.9648481607,8.0,5.0,Patient Respect,gratitude,0,0.9648481607
You have taken the Water Dispenser out of the Waiting Room I had to wait 40 minutes felt dehydrated Iâ€™ll and water a basic necessity like WCs is the least one should expect I thank you in anticipation of you rectifying the situation,negative,0.6477283835,45.0,4.0,Waiting Time,gratitude,0,-0.6477283835
Every thing was fine on this visit,positive,0.8973304033,7.0,5.0,Follow-up and Continuity of Care,approval,0,0.8973304033
Nothing it all went smoothly with very little waiting time,positive,0.6842886209,11.0,5.0,Waiting Time,approval,0,0.6842886209
Nothing donâ€™t try to fix something that isnâ€™t broken ðŸ¤,negative,0.7412307858,10.0,5.0,Patient Respect,neutral,0,-0.7412307858
Everything was perfect I can t find something that must to be improved,negative,0.5639678836,12.0,5.0,Test Results,approval,0,-0.5639678836
I ve been a patient of Earls Court Surgery since 1991 Throughout I ve received a wonderfully attentive treatment and looked after so beautifully by all staff and doctors Dr PERSON in particular has been an absolute gem extremely thorough and top in his profession,positive,0.9739388227,41.0,5.0,Treatment Quality,admiration,0,0.9739388227
Serve a Biscuit after the fasting blood test,neutral,0.9452949762,8.0,5.0,Test Results,neutral,0,0.9452949762
Being on time all the time,positive,0.6316264272,6.0,5.0,Staff Professionalism,neutral,0,0.6316264272
The bad treatment from tge secretary at tge receiptin,negative,0.8452718258,9.0,4.0,Reception Staff Interaction,disappointment,0,-0.8452718258
I said I was in desperate need of pain killers but was prescribed vitamins,neutral,0.4670487344,14.0,2.0,Prescriptions and Medication Management,neutral,0,0.4670487344
Staff are amazing Iâ€™ve been with the surgery for 23 years and I can only say that you have been a massive help and I think and cut myself as including lucky to be able to have such a wonderful Drs surgery and if there is an issue with a member of staff itâ€™s dealt with rapidly are you gonna say that I am one of those individuals brag about how lucky I am to have Scarsdale medical Centre as my doctor surgery,positive,0.960516572,83.0,5.0,Patient Respect,admiration,0,0.960516572
Not much based on my latest appointments at the clinic Dr who attended me was attentive and listen to my request and was pleasing as a patient Thanks,positive,0.7541390061,28.0,5.0,Patient Respect,gratitude,0,0.7541390061
Waiting far too long for reception to answer,negative,0.8168067932,8.0,5.0,Waiting Time,neutral,0,-0.8168067932
Just nice and gave me appointment with Dr,positive,0.8936359286,8.0,5.0,Patient Respect,neutral,0,0.8936359286
The way the doctor dealt with my concern about my problem,neutral,0.8027299047,11.0,5.0,Treatment Quality,neutral,0,0.8027299047
From a direct experience over ten years plus I would recommend the doctors and nursing staff at the Earls Court Surgery,positive,0.499581933,19.0,5.0,Staff Professionalism,approval,0,0.499581933
I was made an appointment but I donâ€™t know where,negative,0.548188448,10.0,4.0,Appointment Availability,confusion,0,-0.548188448
Dr PERSON is amazing I feel I always get the best care he takes times to listen and know what the problem is and shows the care and concern with the reassurance that am in safe hands The appointments are always on time which are always a plus I have never had to wait around or later,positive,0.8997196555,57.0,5.0,Staff Empathy and Compassion,admiration,0,0.8997196555
When in emergency state to have a quicker support and medication,neutral,0.7521191835,11.0,5.0,Prescriptions and Medication Management,neutral,0,0.7521191835
The doctors and their staff are kind and helpful,positive,0.9611456394,9.0,4.0,Staff Empathy and Compassion,admiration,0,0.9611456394
Very bad receptionists no manners very rude unhelpful in every way,negative,0.9386361241,11.0,3.0,Reception Staff Interaction,annoyance,0,-0.9386361241
The treatment I got was fantastic,positive,0.9779094458,6.0,5.0,Treatment Quality,admiration,0,0.9779094458
My husband and I have always received good service and good care from both the medical and admin team,positive,0.9592337012,19.0,5.0,Patient Respect,admiration,0,0.9592337012
Acces to a dr when itâ€™s a matter of vaccine combined with an alarming blood result,negative,0.6292192936,16.0,2.0,Vaccinations,neutral,0,-0.6292192936
To see Dr PERSON as had asked,neutral,0.8235049844,7.0,4.0,Patient Respect,neutral,0,0.8235049844
A quicker appointment my wait was 10 days,neutral,0.5146901608,9.0,4.0,Waiting Time,neutral,0,0.5146901608
I am happy with the service Thank you,positive,0.9741203189,8.0,5.0,Patient Respect,gratitude,0,0.9741203189
Very polite stuff My GP is very polite professional and warm person which so important for all patients,positive,0.9572340846,18.0,5.0,Staff Professionalism,admiration,0,0.9572340846
Because the stuff is very polite as my GP My GP is professional polite and warm person which is so important for all patients,positive,0.906799078,24.0,5.0,Staff Professionalism,approval,0,0.906799078
Friendly and helpful reception staff Recognise who I am by name,positive,0.8467196226,11.0,5.0,Reception Staff Interaction,neutral,0,0.8467196226
Dr PERSON did a Good job Many thanks Doctor PERSON bless you,positive,0.9802375436,13.0,5.0,Patient Respect,gratitude,0,0.9802375436
I waited one hour after the time of the appointment to see the doctor I would have appreciated getting a text message saying there was going to be a long wait,negative,0.6985884309,31.0,2.0,Waiting Time,gratitude,0,-0.6985884309
Good Service and well taken care,positive,0.9319355488,6.0,5.0,Patient Respect,admiration,0,0.9319355488
I always have a pleasant visit to Scarsdale Medical center everyone is kind and caring I canâ€™t find anything that would improve my appointment,positive,0.9558770657,24.0,5.0,Staff Empathy and Compassion,caring,0,0.9558770657
If it was about my gp appointment yesterday all was Very good,neutral,0.774913609,12.0,5.0,Appointment Availability,neutral,0,0.774913609
They are really professional and friendly,positive,0.94922328,6.0,4.0,Staff Professionalism,admiration,0,0.94922328
The staff are very friendly and helpful,positive,0.968354583,7.0,5.0,Staff Professionalism,admiration,0,0.968354583
Staff and doctors actually care about patients Best surgery I have been a patient of in the past 44years,positive,0.9560906887,19.0,5.0,Patient Respect,admiration,0,0.9560906887
They have always helped The reception are very helpful The doctors and nurses are always very professional and explain everything clearly I always leave reassured,positive,0.9694163799,25.0,5.0,Staff Professionalism,approval,0,0.9694163799
Itâ€™s Good as is friendly helpful and caring,positive,0.7648769021,9.0,5.0,Patient Respect,caring,0,0.7648769021
Because its a Very good practise to a patient,neutral,0.4931199849,9.0,5.0,Patient Respect,neutral,0,0.4931199849
The doctors are so patient centred very professional dedicated As a patient they make you feel valued,positive,0.9561905265,20.0,5.0,Staff Professionalism,admiration,0,0.9561905265
Very engaged empathetic efficient and knowledgeable,positive,0.9175703526,6.0,5.0,Patient Respect,admiration,0,0.9175703526
All staff and doctors are Very good,neutral,0.605062723,7.0,5.0,Follow-up and Continuity of Care,neutral,0,0.605062723
everyone is always very kind helpful and accommodating,positive,0.9698983431,8.0,5.0,Staff Empathy and Compassion,admiration,0,0.9698983431
However busy and overworked the whole team are they are exceptionally kin caring professional and efficient I am thrillzd rhat my mzdical team is this practice,positive,0.8234635,26.0,5.0,Staff Professionalism,admiration,0,0.8234635
Because it is the best practice in the area The phone gets answered quickly and it is always possible to get an appointment if required,positive,0.9292494655,25.0,5.0,Appointment Availability,approval,0,0.9292494655
Seen on time Always pleasant Efficient,positive,0.9190889,6.0,5.0,Patient Respect,approval,0,0.9190889
I got an appointment easily and the doctor was very thorough,positive,0.9470400214,11.0,5.0,Appointment Availability,approval,0,0.9470400214
Very short waiting time and excellent care,positive,0.9400834441,7.0,5.0,Treatment Quality,caring,0,0.9400834441
I ve been with his Practice for 25 years and I ve always found them to be extremely helpful and kind and they always manage to get me in to see a doctor when I need to,positive,0.9201958776,35.0,5.0,Follow-up and Continuity of Care,approval,0,0.9201958776
I feel comfortable speaking to doctors,positive,0.6819813848,6.0,5.0,Accessibility and Convenience,approval,0,0.6819813848
Available on the phone always Admin nursing and Medical staff deal with matters promptly Doctors Very good,neutral,0.8202091455,17.0,5.0,Accessibility and Convenience,neutral,0,0.8202091455
My doctor and everyone in the practice are competent and caring,positive,0.943228245,11.0,5.0,Staff Professionalism,admiration,0,0.943228245
Staff and doctors are very nice,positive,0.9598265886,6.0,5.0,Patient Respect,admiration,0,0.9598265886
Very good service at reception and doctors,neutral,0.5628954172,7.0,5.0,Appointment Availability,neutral,0,0.5628954172
Friendly reception atmosphere in waiting area,positive,0.8762054443,7.0,5.0,Waiting Time,neutral,0,0.8762054443
Very confident in the professional care and attention,positive,0.937932789,8.0,5.0,Staff Professionalism,approval,0,0.937932789
Very good quick referal when blood found in urine Recent improvement in SMC communication Before there was too long wait for telephone appointments,neutral,0.7147035003,23.0,4.0,Test Results,neutral,0,0.7147035003
Very nice people and a fist class service,positive,0.9611994624,8.0,5.0,Patient Respect,admiration,0,0.9611994624
Felt pressured to put on mask Made little sense in context,negative,0.56706357,11.0,2.0,Environment and Ambiance,neutral,0,-0.56706357
Awaiting too long for the reception to answer,negative,0.7244864702,8.0,5.0,Waiting Time,neutral,0,-0.7244864702
Discussed treatment in real cooperation with GP Friendly efficient reception,neutral,0.5134273767,10.0,5.0,Patient Respect,neutral,0,0.5134273767
I have found this GP practice consistently wonderful kind proactive simply the best,positive,0.9741770029,13.0,5.0,Staff Professionalism,admiration,0,0.9741770029
It is friendly and efficient and I feel heard and well looked after,positive,0.9458011985,13.0,5.0,Staff Empathy and Compassion,admiration,0,0.9458011985
Helpful administration Reasonable waiting times Good treatment,positive,0.8992769122,7.0,5.0,Treatment Quality,approval,0,0.8992769122
They do really care for you and eager to help,positive,0.9223560691,10.0,5.0,Staff Empathy and Compassion,caring,0,0.9223560691
Staff very welcoming Doctor extremely thorough and interested in patient,positive,0.959879994,10.0,5.0,Staff Empathy and Compassion,admiration,0,0.959879994
All was Good The surgery needs a facelift,neutral,0.6880010962,8.0,5.0,Accessibility and Convenience,neutral,0,0.6880010962
everyone is extremely kind and helpful and Dr PERSON ion particular,positive,0.939038336,11.0,5.0,Staff Empathy and Compassion,admiration,0,0.939038336
I had an appalling experience I was sent a text to book a smear testbevsyse I am 25 in June On day of the test it was cancelled because the nurse was ill The surgery phoned later on to say that I was too young to have the test anyway I was very worried about having the test and my Mother came on a 3 hour journey to be with me,negative,0.8678816557,72.0,1.0,Vaccinations,fear,0,-0.8678816557
Staff are so friendly helpfull so nice,positive,0.9619825482,7.0,5.0,Staff Professionalism,admiration,0,0.9619825482
Everything s is fine the control panel is working great too many thx,positive,0.925940216,12.0,5.0,Accessibility and Convenience,admiration,0,0.925940216
My husband and l have only been with The Chelsea Practice a short time we have found everyone very pleasant and helpful We feel that we are being well taken care of,positive,0.955719471,30.0,5.0,Staff Professionalism,caring,0,0.955719471
My husband and l have been with The Chelsea Practice for a short time and have found everyone very helpful,positive,0.9521603584,18.0,5.0,Staff Professionalism,approval,0,0.9521603584
Very Happy with my surgery and GPs always helpful and friendly,positive,0.9820950627,11.0,5.0,Staff Professionalism,joy,0,0.9820950627
a bit more availability of appointments,neutral,0.8460049629,6.0,5.0,Appointment Availability,neutral,0,0.8460049629
Nothing to change had two appointments over the course of 2 days both went very well All members of staff were friendly polite and professional,positive,0.9212699533,25.0,5.0,Staff Professionalism,admiration,0,0.9212699533
Doctor was running 45mins late due to being a doctor down I understand that this is a normal occurrence at Scarsdale Other practices do not have this issue systematically,negative,0.6549296975,29.0,4.0,Waiting Time,neutral,0,-0.6549296975
Nothing we are so lucky that we have the best team in our GP ðŸ™,positive,0.9779851437,15.0,5.0,Staff Professionalism,admiration,0,0.9779851437
I was treated with care and attention so nothing to improve,negative,0.7453364134,11.0,5.0,Patient Respect,caring,0,-0.7453364134
To have been able a GP I already know Hope my present GP will stay at the Scarsdale for sometime,positive,0.7122732401,20.0,4.0,Follow-up and Continuity of Care,optimism,0,0.7122732401
Less filtering from the front desk yet they are very helpful with the always changing NHS processes,positive,0.7383580804,17.0,4.0,Reception Staff Interaction,approval,0,0.7383580804
None return call was one hour later and complete,neutral,0.7731387615,9.0,5.0,Follow-up and Continuity of Care,neutral,0,0.7731387615
Please do not send me a link after each visit Once per annum is just enough Thanks,neutral,0.5951755047,17.0,4.0,Patient Respect,gratitude,0,0.5951755047
The doctors are really kind and helpful,positive,0.9670692086,7.0,5.0,Staff Empathy and Compassion,admiration,0,0.9670692086
Nothing comes to mind right now,negative,0.6138299704,6.0,4.0,Reception Staff Interaction,neutral,0,-0.6138299704
Dr PERSON was calm patient thorough and the Surgery Team very helpful,positive,0.9167509079,12.0,5.0,Patient Respect,admiration,0,0.9167509079
My baby was ill and you got her a same day appointment which was crucial,neutral,0.5306209326,15.0,4.0,Appointment Availability,sadness,0,0.5306209326
The GP I spoke to was really knowledgeable and helpful,positive,0.971858561,10.0,5.0,Staff Professionalism,admiration,0,0.971858561
